Age,Department,JobRole,MonthlyIncome,DistanceFromHome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,NumCompaniesWorked,Attrition
56,Sales,Executive,49915,3,7,2,4,No,8,Yes
46,R&D,Technician,47219,10,14,4,3,No,0,No
32,HR,Research Scientist,90879,2,13,3,2,Yes,1,No
25,HR,Research Scientist,74644,27,17,3,1,No,4,No
38,HR,Manager,70279,23,19,1,2,No,3,No
56,Sales,Manager,63028,13,6,1,4,No,9,No
36,Sales,Executive,10126,13,2,3,2,Yes,8,Yes
40,R&D,Manager,62329,18,11,3,2,Yes,6,Yes
28,R&D,Technician,37632,3,2,3,1,No,5,Yes
28,R&D,Research Scientist,75310,27,19,4,4,No,6,No
41,Sales,Executive,65176,7,13,3,3,Yes,0,No
53,Sales,Manager,96066,14,14,1,3,Yes,0,No
57,R&D,Technician,54327,20,13,4,1,No,7,No
41,R&D,Technician,78904,29,6,3,2,No,1,No
20,Sales,Manager,13797,17,16,1,1,Yes,9,Yes
39,R&D,Research Scientist,57882,29,11,4,1,Yes,8,No
19,HR,Manager,23718,21,19,3,1,Yes,6,No
41,Sales,Executive,44560,12,3,3,2,No,5,No
47,R&D,Manager,86589,25,8,3,4,Yes,0,Yes
55,Sales,Technician,32116,16,5,4,1,No,0,No
19,HR,Manager,46244,24,15,1,2,Yes,1,Yes
38,Sales,Research Scientist,11645,12,1,1,4,Yes,5,Yes
50,Sales,Sales Rep,57523,15,7,2,1,Yes,5,Yes
29,Sales,Manager,29256,25,10,3,3,Yes,1,No
39,Sales,Research Scientist,63173,10,12,2,4,No,0,No
42,HR,Research Scientist,47430,25,16,2,1,No,9,Yes
44,Sales,Technician,49282,7,7,1,4,Yes,4,Yes
59,Sales,Research Scientist,73374,20,17,4,4,No,4,No
45,R&D,Research Scientist,78244,5,17,4,4,Yes,1,Yes
33,Sales,Research Scientist,21694,1,13,1,4,Yes,5,Yes
32,R&D,Research Scientist,66264,17,14,4,4,Yes,8,No
20,HR,Executive,85060,3,5,2,4,Yes,1,No
54,HR,Executive,67545,13,10,3,1,No,9,Yes
24,HR,Technician,49224,14,12,1,3,Yes,1,Yes
38,HR,Manager,23224,24,0,3,2,Yes,2,Yes
26,R&D,Research Scientist,50738,18,5,4,4,No,6,No
56,Sales,Manager,35150,4,8,3,2,Yes,5,No
35,HR,Manager,73731,18,7,4,1,Yes,7,No
21,Sales,Technician,59688,5,10,4,4,Yes,7,Yes
42,R&D,Research Scientist,83509,25,18,2,3,No,5,No
